"SystemTime","IpAddress","Neighbor","meanLinkQuality"
1466418804,"10.0.0.4","10.0.0.6",0.6075
1466418804,"10.0.0.5","10.0.0.6",0.6565
1466418804,"10.0.0.5","10.0.0.4",0.655
1466418805,"10.0.0.1","10.0.0.2",0.888
1466418806,"10.0.0.3","10.0.0.2",0.888
1466418806,"10.0.0.2","10.0.0.3",0.5585
1466418806,"10.0.0.2","10.0.0.1",0.831
1466418806,"10.0.0.2","10.0.0.5",0.820666666666667
1466418806,"10.0.0.3","10.0.0.5",0.820666666666667
1466418806,"10.0.0.3","10.0.0.6",0.735
1466418806,"10.0.0.3","10.0.0.4",0.694
1466418832,"10.0.0.2","10.0.0.3",0.5035
1466418832,"10.0.0.2","10.0.0.1",0.886
1466418832,"10.0.0.2","10.0.0.5",0.944666666666667
1466418833,"10.0.0.6","10.0.0.3",0.50525
1466418833,"10.0.0.6","10.0.0.5",0.905666666666667
1466418835,"10.0.0.5","10.0.0.2",0.894
1466418835,"10.0.0.4","10.0.0.3",0.51925
1466418835,"10.0.0.5","10.0.0.3",0.54925
1466418835,"10.0.0.4","10.0.0.5",0.942
1466418835,"10.0.0.5","10.0.0.6",0.6015
1466418835,"10.0.0.5","10.0.0.4",0.6485
1466418836,"10.0.0.1","10.0.0.2",0.894
1466418837,"10.0.0.3","10.0.0.2",0.9155
1466418837,"10.0.0.3","10.0.0.5",0.938333333333333
1466418837,"10.0.0.3","10.0.0.6",0.5035
1466418837,"10.0.0.3","10.0.0.4",0.6365
1466418862,"10.0.0.1","10.0.0.2",1
1466418863,"10.0.0.3","10.0.0.2",1
1466418863,"10.0.0.2","10.0.0.3",0.769333333333333
1466418863,"10.0.0.2","10.0.0.1",0.94
1466418863,"10.0.0.2","10.0.0.5",0.806333333333333
1466418863,"10.0.0.3","10.0.0.5",0.794333333333333
1466418863,"10.0.0.3","10.0.0.6",0.441
1466418863,"10.0.0.3","10.0.0.4",0.6525
1466418864,"10.0.0.6","10.0.0.3",0.713
1466418864,"10.0.0.6","10.0.0.5",0.737666666666667
1466418866,"10.0.0.5","10.0.0.2",1
1466418866,"10.0.0.4","10.0.0.3",0.65125
1466418866,"10.0.0.5","10.0.0.3",0.713
1466418866,"10.0.0.4","10.0.0.5",0.752333333333333
1466418866,"10.0.0.5","10.0.0.6",0.441
1466418866,"10.0.0.5","10.0.0.4",0.6525
1466418892,"10.0.0.5","10.0.0.3",0.787
1466418892,"10.0.0.5","10.0.0.6",0.4955
1466418892,"10.0.0.5","10.0.0.4",0.7895
1466418893,"10.0.0.1","10.0.0.2",0.9195
1466418894,"10.0.0.3","10.0.0.2",0.943
1466418894,"10.0.0.2","10.0.0.3",0.731
1466418894,"10.0.0.2","10.0.0.1",1
1466418894,"10.0.0.3","10.0.0.5",0.712
1466418894,"10.0.0.3","10.0.0.6",0.5445
1466418894,"10.0.0.3","10.0.0.4",0.811
1466418895,"10.0.0.6","10.0.0.3",0.7735
1466418895,"10.0.0.6","10.0.0.5",0.737
1466418923,"10.0.0.4","10.0.0.3",0.68775
1466418923,"10.0.0.5","10.0.0.3",0.7005
1466418923,"10.0.0.4","10.0.0.5",0.799333333333333
1466418923,"10.0.0.5","10.0.0.6",0.562
1466418923,"10.0.0.5","10.0.0.4",0.5645
1466418924,"10.0.0.1","10.0.0.2",0.972
1466418925,"10.0.0.3","10.0.0.2",0.97
1466418925,"10.0.0.2","10.0.0.3",0.69275
1466418925,"10.0.0.2","10.0.0.1",0.894
1466418925,"10.0.0.2","10.0.0.5",0.804333333333333
1466418925,"10.0.0.3","10.0.0.5",0.804333333333333
1466418925,"10.0.0.3","10.0.0.6",0.527
1466418925,"10.0.0.3","10.0.0.4",0.6485
1466418926,"10.0.0.6","10.0.0.3",0.72725
1466418926,"10.0.0.6","10.0.0.5",0.855666666666667
1466418952,"10.0.0.6","10.0.0.3",0.91525
1466418952,"10.0.0.6","10.0.0.5",0.819333333333333
1466418954,"10.0.0.4","10.0.0.3",0.929
1466418954,"10.0.0.5","10.0.0.3",0.929
1466418954,"10.0.0.4","10.0.0.5",0.801
1466418954,"10.0.0.5","10.0.0.6",0.6565
1466418954,"10.0.0.5","10.0.0.4",0.613
1466418955,"10.0.0.1","10.0.0.2",0.943
1466418956,"10.0.0.3","10.0.0.2",0.943
1466418956,"10.0.0.2","10.0.0.3",0.929
1466418956,"10.0.0.2","10.0.0.1",0.788
1466418956,"10.0.0.3","10.0.0.5",0.839
1466418956,"10.0.0.3","10.0.0.6",0.6505
1466418956,"10.0.0.3","10.0.0.4",0.654
1466418982,"10.0.0.2","10.0.0.3",0.91525
1466418982,"10.0.0.2","10.0.0.1",1
1466418983,"10.0.0.6","10.0.0.3",0.91525
1466418983,"10.0.0.6","10.0.0.5",0.927666666666667
1466418985,"10.0.0.5","10.0.0.2",1
1466418985,"10.0.0.4","10.0.0.3",0.91525
1466418985,"10.0.0.5","10.0.0.3",0.91525
1466418985,"10.0.0.4","10.0.0.5",0.927666666666667
1466418985,"10.0.0.5","10.0.0.6",0.8805
1466418985,"10.0.0.5","10.0.0.4",1
1466418986,"10.0.0.1","10.0.0.2",1
1466418987,"10.0.0.3","10.0.0.2",1
1466418987,"10.0.0.3","10.0.0.5",0.927666666666667
