"SystemTime","NodeIp","IpNeighbor","linkQuality"
1466420217,"10.0.0.5","10.0.0.4",0.462
1466420217,"10.0.0.5","10.0.0.6",0.732
1466420243,"10.0.0.5","10.0.0.2",1
1466420243,"10.0.0.5","10.0.0.2",0.94
1466420243,"10.0.0.5","10.0.0.3",0.148
1466420243,"10.0.0.5","10.0.0.3",0.94
1466420243,"10.0.0.5","10.0.0.3",0.937
1466420243,"10.0.0.5","10.0.0.3",0.776
1466420243,"10.0.0.5","10.0.0.4",0.466
1466420243,"10.0.0.5","10.0.0.4",0.721
1466420243,"10.0.0.5","10.0.0.6",0.682
1466420243,"10.0.0.5","10.0.0.6",0.407
1466420244,"10.0.0.1","10.0.0.2",1
1466420244,"10.0.0.1","10.0.0.2",0.94
1466420244,"10.0.0.3","10.0.0.2",1
1466420244,"10.0.0.3","10.0.0.2",0.94
1466420244,"10.0.0.3","10.0.0.4",0.721
1466420244,"10.0.0.3","10.0.0.4",0.553
1466420244,"10.0.0.3","10.0.0.5",0.831
1466420244,"10.0.0.3","10.0.0.5",0.839
1466420244,"10.0.0.3","10.0.0.5",0.94
1466420244,"10.0.0.3","10.0.0.6",0.662
1466420245,"10.0.0.2","10.0.0.1",1
1466420245,"10.0.0.2","10.0.0.3",0.937
1466420245,"10.0.0.2","10.0.0.3",1
1466420245,"10.0.0.2","10.0.0.3",0.553
1466420245,"10.0.0.2","10.0.0.5",0.94
1466420245,"10.0.0.2","10.0.0.5",0.894
1466420245,"10.0.0.2","10.0.0.5",0.788
1466420246,"10.0.0.4","10.0.0.3",0.761
1466420246,"10.0.0.4","10.0.0.3",0.098
1466420246,"10.0.0.4","10.0.0.3",0.94
1466420246,"10.0.0.4","10.0.0.3",0.94
1466420246,"10.0.0.4","10.0.0.5",0.662
1466420246,"10.0.0.4","10.0.0.5",0.94
1466420246,"10.0.0.4","10.0.0.5",0.788
1466420247,"10.0.0.6","10.0.0.3",0.937
1466420247,"10.0.0.6","10.0.0.3",0.937
1466420247,"10.0.0.6","10.0.0.3",0.145
1466420247,"10.0.0.6","10.0.0.3",0.761
1466420247,"10.0.0.6","10.0.0.5",0.788
1466420247,"10.0.0.6","10.0.0.5",0.94
1466420247,"10.0.0.6","10.0.0.5",0.662
1466420273,"10.0.0.6","10.0.0.3",0.259
1466420273,"10.0.0.6","10.0.0.3",0.627
1466420273,"10.0.0.6","10.0.0.3",0.776
1466420273,"10.0.0.6","10.0.0.3",0.94
1466420273,"10.0.0.6","10.0.0.5",0.886
1466420273,"10.0.0.6","10.0.0.5",0.776
1466420273,"10.0.0.6","10.0.0.5",1
1466420274,"10.0.0.5","10.0.0.3",0.94
1466420274,"10.0.0.5","10.0.0.3",0.776
1466420274,"10.0.0.5","10.0.0.3",0.607
1466420274,"10.0.0.5","10.0.0.3",0.164
1466420274,"10.0.0.5","10.0.0.4",0.776
1466420274,"10.0.0.5","10.0.0.4",0.643
1466420274,"10.0.0.5","10.0.0.6",0.682
1466420274,"10.0.0.5","10.0.0.6",0.29
1466420275,"10.0.0.1","10.0.0.2",1
1466420275,"10.0.0.1","10.0.0.2",0.819
1466420276,"10.0.0.2","10.0.0.1",1
1466420276,"10.0.0.2","10.0.0.3",0.944
1466420276,"10.0.0.2","10.0.0.3",0.627
1466420276,"10.0.0.2","10.0.0.3",0.776
1466420276,"10.0.0.2","10.0.0.3",0.164
1466420276,"10.0.0.3","10.0.0.2",1
1466420276,"10.0.0.3","10.0.0.2",0.721
1466420276,"10.0.0.3","10.0.0.4",0.788
1466420276,"10.0.0.3","10.0.0.4",0.627
1466420276,"10.0.0.3","10.0.0.5",0.839
1466420276,"10.0.0.3","10.0.0.5",1
1466420276,"10.0.0.3","10.0.0.5",0.886
1466420276,"10.0.0.3","10.0.0.6",0.271
1466420276,"10.0.0.3","10.0.0.6",0.761
1466420277,"10.0.0.4","10.0.0.3",0.94
1466420277,"10.0.0.4","10.0.0.3",0.553
1466420277,"10.0.0.4","10.0.0.3",0.164
1466420277,"10.0.0.4","10.0.0.3",0.776
1466420277,"10.0.0.4","10.0.0.5",1
1466420277,"10.0.0.4","10.0.0.5",0.886
1466420277,"10.0.0.4","10.0.0.5",0.776
1466420303,"10.0.0.4","10.0.0.3",0.396
1466420303,"10.0.0.4","10.0.0.3",0.944
1466420303,"10.0.0.4","10.0.0.3",0.94
1466420303,"10.0.0.4","10.0.0.3",0.576
1466420303,"10.0.0.4","10.0.0.5",0.819
1466420303,"10.0.0.4","10.0.0.5",0.788
1466420303,"10.0.0.4","10.0.0.5",0.94
1466420304,"10.0.0.6","10.0.0.3",0.576
1466420304,"10.0.0.6","10.0.0.3",0.94
1466420304,"10.0.0.6","10.0.0.3",0.407
1466420304,"10.0.0.6","10.0.0.3",1
1466420304,"10.0.0.6","10.0.0.5",0.776
1466420304,"10.0.0.6","10.0.0.5",0.94
1466420304,"10.0.0.6","10.0.0.5",0.788
1466420305,"10.0.0.5","10.0.0.3",0.407
1466420305,"10.0.0.5","10.0.0.3",1
1466420305,"10.0.0.5","10.0.0.3",0.944
1466420305,"10.0.0.5","10.0.0.3",0.607
1466420305,"10.0.0.5","10.0.0.4",0.497
1466420305,"10.0.0.5","10.0.0.4",0.553
1466420305,"10.0.0.5","10.0.0.6",0.831
1466420305,"10.0.0.5","10.0.0.6",0.396
1466420306,"10.0.0.1","10.0.0.2",1
1466420306,"10.0.0.1","10.0.0.2",0.894
1466420307,"10.0.0.2","10.0.0.1",0.94
1466420307,"10.0.0.2","10.0.0.3",0.94
1466420307,"10.0.0.2","10.0.0.3",0.407
1466420307,"10.0.0.2","10.0.0.3",0.944
1466420307,"10.0.0.2","10.0.0.3",0.576
1466420307,"10.0.0.2","10.0.0.5",0.776
1466420307,"10.0.0.2","10.0.0.5",0.788
1466420307,"10.0.0.2","10.0.0.5",0.944
1466420307,"10.0.0.2","10.0.0.6",0.831
1466420307,"10.0.0.2","10.0.0.6",0.388
1466420307,"10.0.0.3","10.0.0.2",1
1466420307,"10.0.0.3","10.0.0.2",0.894
1466420307,"10.0.0.3","10.0.0.4",0.627
1466420307,"10.0.0.3","10.0.0.4",0.47
1466420307,"10.0.0.3","10.0.0.5",0.944
1466420307,"10.0.0.3","10.0.0.5",0.776
1466420307,"10.0.0.3","10.0.0.5",0.776
1466420307,"10.0.0.3","10.0.0.6",0.442
